model,n,m,k_mean,k_std,k_min,k_max,k_max_over_mean,k2_over_k,edge_R_HETA_mean,edge_R_cos_mean,edge_R_HETA_std,edge_R_cos_std,edges_R_one_HETA,edges_R_one_cos,edge_thr_HETA,edge_thr_cos,mu_HETA_skew,mu_cos_skew,mu_HETA_SWp,mu_cos_SWp,mu_HETA_cov,mu_cos_cov
Regular,200,600,6.0,0.0,6,6,1.0,6.0,0.026000000000000002,0.026000000000000002,0.07117426707612126,0.07117426707612126,0,0,0.16834853415224252,0.16834853415224252,-0.1715410328852706,-0.1715410328852706,0.6831445858725707,0.6831445858725707,98.0,98.0
ER,200,600,6.0,2.4288881175215105,1,15,2.5,6.978333333333333,0.037746091871091875,0.02841294940608461,0.0924214372317665,0.0679206624990481,0,0,0.22258896633462488,0.1642542744041808,-0.129717100869943,-0.12012001281497843,0.29882326811174903,0.5312292733782279,99.0,99.0
BA,200,591,5.91,5.339894414855883,3,41,6.937394247038917,10.710659898477157,0.11224490661609032,0.05711954348940544,0.17769116605365207,0.08923587843339405,3,0,0.46762723872339446,0.23559130035619352,0.061887295316769675,0.1224284261873254,0.8309316627449554,0.6372358329122417,96.0,97.0
